тема,вид,текст на фоне,приглушённый на фоне,приглушённый после подмешивания,акцент на фоне,текст на приподнятом,фон на акценте,ошибка на фоне,приподнятое на фоне
8008,тёмная,9.67,4.23,6.87,3.38,10.58,3.38,2.46,1.09
80s_after_dark,тёмная,13.20,10.32,11.78,9.03,14.00,9.03,15.20,1.06
9009,светлая,16.72,2.55,7.73,16.72,12.78,16.72,2.63,1.31
aether,тёмная,13.51,5.79,9.28,13.51,11.61,13.51,5.61,1.16
alduin,тёмная,15.36,1.75,6.84,11.75,13.99,11.75,3.75,1.10
alpine,тёмная,5.35,1.86,3.49,5.35,4.55,5.35,1.18,1.18
anti_hero,тёмная,15.81,6.05,9.71,11.38,14.63,11.38,15.02,1.08
arch,тёмная,17.85,2.19,8.15,8.86,15.94,8.86,5.81,1.12
aurora,тёмная,17.97,2.41,8.41,11.10,19.77,11.10,3.97,1.10
beach,светлая,4.17,1.29,2.36,1.53,3.60,1.53,2.34,1.16
bento,тёмная,11.24,2.37,6.15,4.68,12.82,4.68,2.79,1.14
bingsu,светлая,1.86,4.84,1.23,2.35,2.21,2.35,3.82,1.19
bliss,тёмная,14.98,2.23,7.32,10.60,12.75,10.60,2.85,1.17
blue_dolphin,тёмная,8.91,7.96,8.32,9.10,7.13,9.10,8.04,1.25
blueberry_dark,тёмная,6.51,3.31,4.87,9.36,7.25,9.36,3.53,1.11
blueberry_light,светлая,3.09,1.93,2.47,4.65,2.42,4.65,3.04,1.28
botanical,светлая,2.61,2.54,1.28,2.61,3.02,2.61,1.98,1.16
bouquet,тёмная,8.93,2.99,5.63,5.56,7.20,5.56,2.63,1.24
breeze,светлая,6.58,2.31,4.01,3.36,7.69,3.36,3.36,1.17
bushido,тёмная,12.89,2.35,6.72,3.98,14.10,3.98,3.98,1.09
cafe,светлая,9.17,1.35,2.72,9.17,7.59,9.17,2.70,1.21
camping,светлая,9.44,1.75,4.07,3.48,7.79,3.48,4.69,1.21
carbon,тёмная,10.55,2.10,5.64,4.43,11.49,4.43,2.98,1.09
catppuccin,тёмная,11.34,4.44,7.71,8.07,12.14,8.07,7.08,1.07
chaos_theory,тёмная,14.50,3.67,8.40,7.73,12.98,7.73,7.73,1.12
cheesecake,светлая,10.91,4.20,7.74,7.26,9.64,7.26,1.31,1.13
cherry_blossom,тёмная,8.05,3.01,5.39,3.72,8.67,3.72,2.70,1.08
comfy,тёмная,6.13,3.64,4.89,4.83,6.94,4.83,1.50,1.13
copper,тёмная,9.57,5.69,7.62,3.05,8.44,3.05,1.68,1.13
creamsicle,светлая,2.05,1.39,1.26,2.05,2.29,2.05,4.37,1.12
cy_red,тёмная,5.88,3.60,4.67,2.84,8.66,2.84,4.15,1.47
cyberspace,тёмная,14.92,4.85,9.33,8.31,15.78,8.31,5.79,1.06
dark,тёмная,16.28,1.94,7.40,16.28,15.15,16.28,4.05,1.07
dark_magic_girl,тёмная,5.68,11.84,7.89,9.68,6.07,9.68,5.04,1.07
dark_note,тёмная,12.25,4.81,8.35,9.96,13.69,9.96,4.12,1.12
darling,светлая,1.46,5.61,1.80,1.46,1.68,1.46,2.81,1.15
deku,тёмная,3.71,2.04,1.72,1.43,4.43,1.43,1.43,1.19
desert_oasis,светлая,13.10,4.57,9.13,2.22,10.92,2.22,2.11,1.20
dev,тёмная,10.03,2.33,5.58,6.00,10.71,6.00,2.52,1.07
diner,тёмная,3.32,1.48,1.78,2.11,3.81,2.11,1.13,1.15
dino,светлая,16.14,1.47,4.79,1.90,13.97,1.90,2.98,1.16
discord,тёмная,9.39,1.78,4.96,2.70,10.25,2.70,3.23,1.09
dmg,светлая,7.36,5.65,6.74,4.90,5.71,4.90,4.90,1.29
dollar,светлая,5.48,2.34,3.67,3.05,4.46,3.05,4.24,1.23
dots,тёмная,18.20,3.62,9.82,18.20,16.55,18.20,3.90,1.10
dracula,тёмная,13.36,3.03,7.50,5.90,14.85,5.90,4.53,1.11
drowning,тёмная,5.81,3.08,4.43,3.53,5.40,3.53,3.88,1.08
dualshot,тёмная,3.36,2.04,1.35,3.36,2.70,3.36,1.16,1.25
earthsong,тёмная,9.49,7.95,8.71,4.13,10.72,4.13,1.64,1.13
everblush,тёмная,12.46,4.84,8.46,9.41,10.43,9.41,5.88,1.20
evil_eye,тёмная,4.33,1.75,3.10,3.71,3.83,3.71,1.12,1.13
ez_mode,тёмная,5.53,1.60,3.22,2.05,6.79,2.05,3.04,1.23
fire,тёмная,20.58,2.09,8.78,2.96,18.93,2.96,2.39,1.09
fledgling,тёмная,8.30,2.04,4.71,4.31,9.33,4.31,2.92,1.12
fleuriste,светлая,8.78,4.64,6.96,3.64,7.36,3.64,4.33,1.19
floret,тёмная,12.57,4.69,8.42,11.92,11.06,11.92,2.12,1.14
